head	relation	tail
chairperson	CapableOf	chair meeting
chairperson	CapableOf	head committee
charlatan	CapableOf	fool gullible people
cheetas	CapableOf	run fast
chess player	CapableOf	advance queen
chess player	CapableOf	join local amateur club
christian	CapableOf	forgiven
christian	CapableOf	rationalize sin
circus clown	CapableOf	guess age
coalminer	CapableOf	mine coal
college counselor	CapableOf	give advice to undergraduate
college student	CapableOf	joining political protest
comedian	CapableOf	attempt to funny
comedian	CapableOf	laugh at own jokes
comedian	CapableOf	milk situation for many laughs
comedian	CapableOf	time joke
comedy club owner	CapableOf	book top talent
commander	CapableOf	order attack
commuter	CapableOf	board train
commuter	CapableOf	listen to audiobook
competitive person	CapableOf	real jerk
competitor	CapableOf	hope to win
con artist	CapableOf	lie to victim
conductor	CapableOf	lead orchestra
conquistador	CapableOf	plan to conquer new world
consierges	CapableOf	welcome guests
construction worker	CapableOf	lay bricks
construction worker	CapableOf	shore up wall
consultant	CapableOf	charge fee to client
consumer	CapableOf	voice complaint
contestant	CapableOf	answering question
contestant	CapableOf	enter race
contestant	CapableOf	hope to win
contestant	CapableOf	win prize
council	CapableOf	sponsor public meetings
courier	CapableOf	ship packages
cowboy	CapableOf	ride horse for hours
cowboy	CapableOf	water horses
cowboy	CapableOf	wear cowboy hat
craftsman	CapableOf	machine piece of metal
creator	CapableOf	name invention
crew	CapableOf	board ship
crew	CapableOf	work on construction project
critical person	CapableOf	list shortcomings
curious cat	CapableOf	gets into mortal danger
czar	CapableOf	rule country
dancer	CapableOf	dance well
daredevil	CapableOf	attempt impossible
deadbeat	CapableOf	duck out on bill
deaf person	CapableOf	hear very little
debater	CapableOf	reply to opponent
defendant	CapableOf	face charge
dictator	CapableOf	subject people
diplomatic person	CapableOf	iron out difficulties
director	CapableOf	direct movie
director	CapableOf	showing screening
dishonest clerk	CapableOf	short change
ditch digger	CapableOf	labor in hot sun
divorcee	CapableOf	leave marriage
dockworker	CapableOf	lift box
donor	CapableOf	gift money to foundation
drug addict	CapableOf	trip on acid
drunk people	CapableOf	throw up to sink
dude	CapableOf	throw fit
eavesdropper	CapableOf	bug telephone
election observer	CapableOf	count ballots
employee or soldier	CapableOf	follow procedures
employee or soldier	CapableOf	obey orders
engineer	CapableOf	bring drawing
engineer	CapableOf	design car
entrepreneur	CapableOf	own business
eskimo	CapableOf	warm hands by fire
ethical person	CapableOf	keep secret
even amateur	CapableOf	cook piece of toast
expert glassblower	CapableOf	blow giraffe quickly
exterminator	CapableOf	clean basement of rats
extremist	CapableOf	head revolution
factory worker	CapableOf	machine screws
failure	CapableOf	destroy hope
fair judge	CapableOf	further justice
famous person	CapableOf	influence public decisions
famous person	CapableOf	star in movie
farmer	CapableOf	dream about good crop
farmer	CapableOf	farm crops
farmer	CapableOf	farm ducks
farmer	CapableOf	farm sheep
farmer	CapableOf	farm vegetables
farmer	CapableOf	farm wheat
farmer	CapableOf	feed chickens
farmer	CapableOf	feed pigs
farmer	CapableOf	fence field
farmer	CapableOf	fence in field
farmer	CapableOf	gather cropsa
farmer	CapableOf	grow corn
farmer	CapableOf	milk goat
farmer	CapableOf	plant wheat
farmer	CapableOf	raise corn
farmer	CapableOf	seed field
farmer	CapableOf	shake tree
farmer	CapableOf	use tractor
farmer	CapableOf	water crops
farrier	CapableOf	shoe horse
fast runner	CapableOf	finish race first
fbi	CapableOf	investigate
fencer	CapableOf	practice lunges
fertile husband	CapableOf	father child
fiction writer	CapableOf	write stories
fireman	CapableOf	resuscitate
fireman	CapableOf	wear hat
fisher	CapableOf	fish shark
fisher	CapableOf	land fish
fisherman	CapableOf	bone fish
fisherman	CapableOf	bone salmon
fisherman	CapableOf	fish stream
fisherman	CapableOf	land halibut
fisherman	CapableOf	use worms as bait
fishmonger	CapableOf	sell haddock
fit woman	CapableOf	touch toes
football player	CapableOf	throw forward pass
free person	CapableOf	voice discontent
french person	CapableOf	age wine
gambler	CapableOf	bank winnings
gambler	CapableOf	double stakes
gambler	CapableOf	play blackjack
gambler	CapableOf	play cards
gambler	CapableOf	play poker
gambler	CapableOf	win game of blackjack
game player	CapableOf	sort cards
gang member	CapableOf	fight gang member
garderner	CapableOf	water plants
gardner	CapableOf	water lawn
geek	CapableOf	spend hours on computer
general	CapableOf	arm soldiers
general	CapableOf	position troops
general	CapableOf	prepare to send in troops
genius	CapableOf	head corporation
golfer	CapableOf	get hole in one
golfer	CapableOf	perfect swing
good baseball player	CapableOf	hit homerun
good driver	CapableOf	pass slow moving vehicles
good person	CapableOf	laugh at itself
good person	CapableOf	right wrong
good student	CapableOf	master information
good student	CapableOf	understand or homework
gossip	CapableOf	share secret
government	CapableOf	arm citizens
government	CapableOf	short taxes
greedy merchant	CapableOf	price products out of market
greeter	CapableOf	welcome people to wal mart
grocer	CapableOf	bag groceries
grocer	CapableOf	bag produce
grocer	CapableOf	stock food
grocer	CapableOf	stock product
grocer	CapableOf	stock shelves
guard dog	CapableOf	sound alarm
guide dog	CapableOf	guide blind person
gymnast	CapableOf	pull muscle
gymnast	CapableOf	step onto beam
hacker	CapableOf	attempt to get personal information
hacker	CapableOf	gather information about computer
hairdresser	CapableOf	blue old lady's hair
hairdresser	CapableOf	charge fee
hairstylist	CapableOf	use scissors to cut hair
handsome man	CapableOf	kiss pretty girl
hard worker	CapableOf	bag money for work
headliner	CapableOf	star in movie
heavy duty equipment operator	CapableOf	run bulldozer
heckler	CapableOf	needle speaker
helpful person	CapableOf	lend hand
herbalist	CapableOf	gathering herbs
high school graduate	CapableOf	join marines
highway patrolman	CapableOf	drive car
hiker	CapableOf	push herself to physical extremes
hiker	CapableOf	wish to reach summit
hockey player	CapableOf	ice skate
home gardener	CapableOf	plant tomato seedling
homeless poeple	CapableOf	sleep under papers
homemaker	CapableOf	cook terrific meal
homeowner	CapableOf	garden flower bed
homeowner	CapableOf	paint house
homeowner	CapableOf	seed lawn
honest person	CapableOf	honor debts
horse whisperer	CapableOf	train horse
horseman	CapableOf	ride horse
host	CapableOf	spring for dinner
host	CapableOf	talk on radio show
hostess	CapableOf	group people
hostess	CapableOf	welcome guest
housekeeper	CapableOf	iron clothes
housewife	CapableOf	save coupons
huband	CapableOf	miss wife
hungry person	CapableOf	eye cookie
hungry person	CapableOf	fancy alot of food
hungry person	CapableOf	fancy bite to eat
hunter	CapableOf	call ducks
hunter	CapableOf	clean gun
hunter	CapableOf	corner prey
hunter	CapableOf	cover trap
hunter	CapableOf	dress deer
hunter	CapableOf	eye prey
hunter	CapableOf	land wild animal
hunter	CapableOf	stalk prey
ice skater	CapableOf	footwork
ice skater	CapableOf	wear tights
idealist	CapableOf	strike blow for cause
idiot	CapableOf	drive up wall
ignorant person	CapableOf	anger informed person
in badminton only server	CapableOf	score
indian	CapableOf	hunt buffalo
inmate	CapableOf	scape from prison
insane person	CapableOf	clear room
intelligent citizen	CapableOf	question authority
interrigator	CapableOf	force suspect into confessing
inventor	CapableOf	perfect creation
investigator	CapableOf	discover truth
investigator	CapableOf	question suspect
janitor	CapableOf	clean toilet
janitor	CapableOf	mop floor
japanese	CapableOf	speak english
jeweler	CapableOf	clean diamond
jeweler	CapableOf	fix watch
jeweler	CapableOf	shape ring
jeweler	CapableOf	wind watch
jewler	CapableOf	value diamond
job seeker	CapableOf	answer help wanted ad
jockey	CapableOf	master horse
junkie	CapableOf	bottom out
jury	CapableOf	decides whether lives or dies
jury	CapableOf	pronounce defendant guilty
just leader	CapableOf	govern wisely
karate master	CapableOf	side kick someones head
kindergarten teacher	CapableOf	seed little minds with right ideas
laundress	CapableOf	airing sheets
laundress	CapableOf	sort clothes
lazy person	CapableOf	amount to very little
lecher	CapableOf	eye girl
liberator	CapableOf	free enslaved
library patron	CapableOf	return book
line cook	CapableOf	cook meal
linguist	CapableOf	speak many languages
lobbyist	CapableOf	push to get bill passed
lonely lady	CapableOf	drink margaritas
lonely person	CapableOf	call mother
lumberjack	CapableOf	saw down tree
lumberjack	CapableOf	saw tree
machinist	CapableOf	machine metal
madame chairman	CapableOf	chair meeting
magician	CapableOf	name what thinking of
male human	CapableOf	father child
mammal	CapableOf	play
maniac	CapableOf	plant bomb
manufacturer	CapableOf	making wonderful widgets
manufacturer	CapableOf	produce products
marketer	CapableOf	position product
masochist	CapableOf	subject himself to pain
mason	CapableOf	wall off room
matador	CapableOf	fight bull
matador	CapableOf	stick bull
mathematician	CapableOf	discover theorem
mathematician	CapableOf	divide numbers
mediator	CapableOf	iron out differences
medium	CapableOf	see beam of light
meterman	CapableOf	read meter
military commander	CapableOf	plan invasion
mime	CapableOf	talk with hands
miner	CapableOf	mine diamonds
miner	CapableOf	mine ffor coal
miner	CapableOf	mine for opals
miner	CapableOf	mine ground
miscreant	CapableOf	receive comeupance
miser	CapableOf	count money
miser	CapableOf	save cent
moderaters	CapableOf	even power differentials
mommy	CapableOf	fix
monopolist	CapableOf	charge higher prices for products
monopoly player	CapableOf	land in jail
motehr	CapableOf	forgive children
movie star	CapableOf	act
movie star	CapableOf	star in movie
musician	CapableOf	play harp
musician	CapableOf	play musical instrument
musician	CapableOf	play violin
naive person	CapableOf	fall for
negotiator	CapableOf	iron iron things out
neurotic terrier	CapableOf	sound alarm
nice person	CapableOf	shoulder responsibility for
normal person	CapableOf	close door
objective person	CapableOf	separate fact from fiction
observer	CapableOf	view event
offspring	CapableOf	honor parent
old man	CapableOf	eye young woman with interest
old person	CapableOf	share memory
one hand	CapableOf	wash other
one person	CapableOf	change course of history
one person	CapableOf	marry other person
one person	CapableOf	meet another
only woman	CapableOf	become pregnant with child
operator	CapableOf	receive many telephone calls
operator	CapableOf	tell phone number
osprey	CapableOf	spot prey at long distance
ostrich	CapableOf	lay egg
outfielder	CapableOf	field popfly
overweight person	CapableOf	burn calories during exercise
owner	CapableOf	close shop
owner	CapableOf	feed table scraps to dog
owner	CapableOf	let pet in
owner	CapableOf	sign check
owner	CapableOf	welcome customer
packer	CapableOf	box magazines
passenger	CapableOf	board ship or airplane
passenger	CapableOf	book flight reservation
patron	CapableOf	demand refund
patron	CapableOf	order food to go
patron	CapableOf	watch play
paymaster	CapableOf	hand check
pedestrian	CapableOf	trip on curb
peon	CapableOf	question authority
percussionist	CapableOf	ring bell
peson	CapableOf	stand up
petitioner	CapableOf	return with petition granted
pharmacist	CapableOf	supply prescription drugs
phone operator	CapableOf	reply with quick information
physician	CapableOf	doctor wound
physicist	CapableOf	make tentative hypothesis
piano tuner	CapableOf	use tuning fork
pilgrim	CapableOf	journey to mecca
pilgrim	CapableOf	visit shrine
pinochle player	CapableOf	order cards
pioneer	CapableOf	circle wagons
pirate	CapableOf	sail pirateship
poeple	CapableOf	class other people
poker player	CapableOf	raise bet
polic officer	CapableOf	direct traffic
policaman	CapableOf	fine driver
postal carrier	CapableOf	sort mail
prayerful person	CapableOf	find peace
prince	CapableOf	use hammer
programmer	CapableOf	write ai
prohibitionist society	CapableOf	restrict freedom
promiscuous person	CapableOf	spread venereal disease
prophet	CapableOf	talk about future
pundit	CapableOf	debate politics
puzzle fan	CapableOf	spread pieces out
puzzle solver	CapableOf	piece together solution
pyromaniac	CapableOf	light arsonic fire
pyromaniac	CapableOf	light match
quarterback	CapableOf	group offense
quarterback	CapableOf	pass football to receiver
quarterback	CapableOf	pass to wide receiver
quilter	CapableOf	piece quilt
quilter	CapableOf	piece quilt together
racer	CapableOf	race cars
reader	CapableOf	page through book
receptionist	CapableOf	page visitor
renter	CapableOf	return rental car to hertz
renter	CapableOf	sign lease
researcher	CapableOf	show or findings
resident	CapableOf	receive mail
responsible adult	CapableOf	mind child
restaurant hostess	CapableOf	show to table
restaurant worker	CapableOf	bus table
retiree	CapableOf	winter in florida
rich investor	CapableOf	corner market
rider	CapableOf	bicycle uphill
rider	CapableOf	put saddle on horse
rock roll star	CapableOf	play instrument
rockclimber	CapableOf	attempt to climb mountain
rockstars	CapableOf	social activists if choose
royalty	CapableOf	govern kingdoms
sadist	CapableOf	welcome bad news
sailor	CapableOf	box compass
sailor	CapableOf	man battlestations
sailor	CapableOf	row boat
sailor	CapableOf	sailing in ocean
sailor	CapableOf	tie knot
sailor	CapableOf	wave in semiphor
salsemen	CapableOf	offer to consumers
santa	CapableOf	give presents
schizophrenic	CapableOf	gain insight
scholar	CapableOf	reason logic problem
scholar	CapableOf	study bible
scholar	CapableOf	study text
scientiest	CapableOf	think clearly
scout	CapableOf	guide camper
seamstress	CapableOf	pressing shirt
security guard	CapableOf	eye suspicious person
security guard	CapableOf	guard building
sentimental fool	CapableOf	long for lost love
sentry	CapableOf	guard post
sentry	CapableOf	man guard tower
sentry	CapableOf	sound alarm
servant	CapableOf	ready car
service man	CapableOf	oil engine with motor oil
serviceman	CapableOf	fix problem
sharp mind	CapableOf	adding new insights
sharp negotiator	CapableOf	strike good bargain
shepard	CapableOf	lead sheep to better pastures
shipper	CapableOf	ship object
shoe shiner	CapableOf	shine shoe
shooter	CapableOf	fire gun
shortstop	CapableOf	field grounder
sick employee	CapableOf	stay home for day
sick person	CapableOf	give disease to another person
sick person	CapableOf	go to emergency room
sick person	CapableOf	stay home from work
sick person	CapableOf	suffer great pain
sick person	CapableOf	take medicine
skater	CapableOf	die while skating
skillful general	CapableOf	divide and conquer
slave	CapableOf	suffer from humiliation
smart person	CapableOf	laugh at himself
smart person	CapableOf	remember facts
smart person	CapableOf	set vcr
smith	CapableOf	shoe horse
soccer player	CapableOf	score goal
somebody	CapableOf	go camping
somebody	CapableOf	picking blueberries
spy	CapableOf	bug apartment
spy	CapableOf	bug hotel room
spy	CapableOf	share secrets
spy	CapableOf	turn over state secrets
stewardess	CapableOf	board airplane
stewardess	CapableOf	seat passengers
store owner	CapableOf	mind store
storekeeper	CapableOf	open store
strong leader	CapableOf	rule country
strong man	CapableOf	shoulder burden
stupid person	CapableOf	reason badly
stylist	CapableOf	blue hair
successful store owner	CapableOf	branch out and create franchise
suitor	CapableOf	fear rejection
sunbather	CapableOf	lie in sun
sunbather	CapableOf	oil skin before going out
supermarket employee	CapableOf	bag groceries from checkout
supplier	CapableOf	ship product
supporter	CapableOf	back proposal
swimmer	CapableOf	cross lake
swimmer	CapableOf	swim
swimmer	CapableOf	swim in ocean
swordsman	CapableOf	fence well
talented cook	CapableOf	perfect recipe
tall person	CapableOf	reach high shelf
tall person	CapableOf	reaching high up
technician	CapableOf	fix cd player
technician	CapableOf	fix computer
telephone operator	CapableOf	page people
tennis player	CapableOf	advance to final round
tennis player	CapableOf	master serve
tennis player	CapableOf	perfect serve
tennis player	CapableOf	serve ball
tennis player	CapableOf	serve to opponent
third grader	CapableOf	read
thrifty person	CapableOf	save money
thug	CapableOf	club over head
toad	CapableOf	fool fly
toddler	CapableOf	place blocks ontop of one another
top notch salesperson	CapableOf	market wide variety of things
tortise	CapableOf	live to very old
tourist	CapableOf	arrive at time
tourist	CapableOf	travel to foreign countries
tourist	CapableOf	view castle
tourist	CapableOf	visit town
traffic cop	CapableOf	book speeding motorist
traffic cop	CapableOf	direct traffic
traveler	CapableOf	board buggy
traveler	CapableOf	book flight
traveler	CapableOf	continue down road
traveler	CapableOf	journey from country to country
traveler	CapableOf	return rental car
traveller	CapableOf	book hotel room
traveller	CapableOf	journey around world
trobriand chief	CapableOf	throw kula valuable
trumpeteer	CapableOf	play tune
trustworthy person	CapableOf	keep secret
twelve year old girl	CapableOf	belong to girl scouts
tyrant	CapableOf	ruling nation
uncoordinated person	CapableOf	trip over
understudy	CapableOf	double role
user	CapableOf	complete form
usher	CapableOf	number seats in theater
usher	CapableOf	seat guest
usher	CapableOf	seat wedding guests
vacationer	CapableOf	joy ride all day
vermin	CapableOf	spread diseases
veteran	CapableOf	remember battle
veteran	CapableOf	remember war story
veterinarian	CapableOf	doctor animal
veterinarian	CapableOf	make house call
veterinarian	CapableOf	wall in yard
vinters	CapableOf	bottle wine
vintner	CapableOf	make wine
visitor	CapableOf	let cat out
visitor	CapableOf	walk around shops
volunteer	CapableOf	step forward
warrior	CapableOf	fight battle
watchdog	CapableOf	spot danger
weatherman	CapableOf	report forcast
weight lifter	CapableOf	lift barbells
weightlifter	CapableOf	lift dumb bell
weightlifter	CapableOf	lift weight
weightlifter	CapableOf	lift weights
window washer	CapableOf	wash windows
wine grader	CapableOf	class particular wine
wise person	CapableOf	master tongue
woman or man	CapableOf	flirt to gain attention
wordsmith	CapableOf	word things in new ways
workaholic	CapableOf	work people beyond limits
workman	CapableOf	cover roof with shingles
world traveler	CapableOf	cross many time zones
wrestler	CapableOf	fight another wrestler
wrestler	CapableOf	take pain
wrestler	CapableOf	throw opponent
writer	CapableOf	ball discarded manuscripts
writer	CapableOf	bone up on subject
writer	CapableOf	cross t's
writer	CapableOf	list published works
writer	CapableOf	look outside window while thinking
writer	CapableOf	word things for impact
writer	CapableOf	write novel
writer	CapableOf	write poems
yoga master	CapableOf	stand on head
young child	CapableOf	fall down
young man	CapableOf	date young woman
youngster	CapableOf	wet bed
parrot	CapableOf	can say words it's heard before
gentleman	CapableOf	fill role in society
gentleman	CapableOf	opening doors for ladies
gentleman	CapableOf	relaxing in bath tub
government	CapableOf	control people
government	CapableOf	oppression
mayor	CapableOf	heading up meeting
mayor	CapableOf	leadership of city
mayor	CapableOf	making important decisions
mayor	CapableOf	manage city
mayor	CapableOf	signing ordinances
prince	CapableOf	becoming king
prince	CapableOf	royalty
society	CapableOf	cooperation
society	CapableOf	create laws
society	CapableOf	survival
tenor	CapableOf	add variety to singing group
tenor	CapableOf	singing
tourist	CapableOf	plan trip
birthday girl	CapableOf	receive gifts
persistent friend	CapableOf	bug until quit smoking
pet owner	CapableOf	name dog
winner	CapableOf	distance from loser
inventor	CapableOf	create new idea
gourmand	CapableOf	eat well
card dealer	CapableOf	deal cards
precocious child	CapableOf	star in sitcom
host	CapableOf	welcome guest
jury	CapableOf	side with defendant
butcher	CapableOf	quarter ham
hunter	CapableOf	kill deer
tourist	CapableOf	fish for marlin
distributor	CapableOf	ship merchandise
shop clerk	CapableOf	box gift
owner	CapableOf	train pet
aqn actor	CapableOf	star in movie
farmer	CapableOf	keep pigs
healthy child	CapableOf	do cartwheels
farmer	CapableOf	separate wheat from chaff
smart person	CapableOf	value freedom
man and woman	CapableOf	produce children at park
goose	CapableOf	fly
voyeur	CapableOf	watch two people fucking
government	CapableOf	demand taxes from citizens
bride and groom	CapableOf	join together in matrimony
healthy person	CapableOf	stand up
grocer	CapableOf	attempt to fix cash register
society	CapableOf	sharing knowledge
reader	CapableOf	continue story
tom	CapableOf	face sam
pirate	CapableOf	share loot
host	CapableOf	welcome guests
miner	CapableOf	mine gold
gentleman	CapableOf	service of ladies
wild animal	CapableOf	mark territory with urine
winner	CapableOf	feel elation
baseball player	CapableOf	catch baseball
landscaper	CapableOf	plant junipers along walkway
janitor	CapableOf	refill soap containers
good crew	CapableOf	man lifeboat
success	CapableOf	turn on unexpected events
consumer	CapableOf	drink can of coke
socialite	CapableOf	belong to right clubs
fisherman	CapableOf	row boat
arizonan	CapableOf	take heat
trumpet player	CapableOf	march in parade
treasurer of company	CapableOf	sign company check
idiot	CapableOf	bug
investor	CapableOf	double money
smart person	CapableOf	join mensa
mother of family	CapableOf	nurses babies
skilled lathe operator	CapableOf	machine legs for table
editor	CapableOf	word news story
sailor	CapableOf	shore boat
innocent person	CapableOf	stay aloof from charges
teen	CapableOf	hang out with friend
busboy	CapableOf	clear table
farmer	CapableOf	seed plants
musician	CapableOf	play song
little girl	CapableOf	gather flowers
sommelier	CapableOf	open bottle of wine
failure	CapableOf	hold back
machinist	CapableOf	machine parts
mayor	CapableOf	running town
male	CapableOf	father child
predator	CapableOf	corner prey
activist	CapableOf	go into court
exposure to sun	CapableOf	lead to sunburn
neat person	CapableOf	better neighborhood
bagboys	CapableOf	bag groceries
track star	CapableOf	run quickly
daredevil	CapableOf	attempt to jump between two buildings
military person	CapableOf	choose to brave
good cook	CapableOf	season food perfectly
swindler	CapableOf	wrong naive person
engineer	CapableOf	machine metal
revolutionary	CapableOf	fight society
teenaged girl	CapableOf	becoming young lady
dragonfly	CapableOf	fly
lion tamer	CapableOf	train lion
executioner	CapableOf	hang criminal
pirate	CapableOf	board ship
forger	CapableOf	doctor documents
hunter	CapableOf	fire rifle
con artist	CapableOf	take money
dictator	CapableOf	subject people to terrible things
pregant lady	CapableOf	fancy chocolate for dinner
smart lawyer	CapableOf	cut red tape
novelist	CapableOf	tell story
commuter	CapableOf	rush to work
government	CapableOf	supplies money to fund research
carpenter	CapableOf	hammer nail
visitor	CapableOf	arriving anytime soon
pregnant woman	CapableOf	gain weight
good speaker	CapableOf	gather crowd
meteorologist	CapableOf	note change in weather
doctoral candidate	CapableOf	complete dissertation
gardner	CapableOf	water plants
zookeeper	CapableOf	spring latch on gate
koala	CapableOf	eat eucalyptus
commuter	CapableOf	hurry to catch train
wanderer	CapableOf	travel to new place
addict	CapableOf	need drugs
cartoonist	CapableOf	draw cartoon
clerk without customer	CapableOf	busy themselves with straightening
bishop	CapableOf	kill queen
exterminator	CapableOf	clean house of pests
lion tamer	CapableOf	train cats
philanthropist	CapableOf	offer help
observant person	CapableOf	note what weather doing
architect	CapableOf	picture structural design
phlebotomist	CapableOf	stick patient with needle
blacksmith	CapableOf	shoe horse
typical homeowner	CapableOf	paint himself right into corner
negative person	CapableOf	plant seeds of doubt
paddler	CapableOf	right canoe
sometimes even underachiever	CapableOf	rise to occasion
astronaut	CapableOf	man flight to moon
albatross	CapableOf	land on ocean's surface
shortstop	CapableOf	field play
junkie	CapableOf	trip on acid
in circus monkey	CapableOf	ride donkey
farmer	CapableOf	raise crops
glassblower	CapableOf	blow glass
childe	CapableOf	dance dance
society	CapableOf	survival of species
marathon runner	CapableOf	run far distance
commuter	CapableOf	carry briefcase
proofreader	CapableOf	earn living by reading
lonely person	CapableOf	call friend
reader	CapableOf	continue reading
beautiful woman	CapableOf	stop traffic
hardy sailor	CapableOf	weather storm
careless smoker	CapableOf	burn house down
buddists	CapableOf	wear robes
milkmaid	CapableOf	milk cow
cyclist	CapableOf	bicycle on cycle path
hungry person	CapableOf	finish what on plate
cobbler	CapableOf	produce shoes
busboy	CapableOf	bus table
scout	CapableOf	eye jolly roger
collector	CapableOf	gathering antiques
retailer	CapableOf	price commodity
greedy dishonest man	CapableOf	milk pain and suffering lawsuit
pupa	CapableOf	become butterfly
operator	CapableOf	direct call
quarterback	CapableOf	throw spiral pass
aggressive person	CapableOf	start argument
musician	CapableOf	perfect song
candidate	CapableOf	win election
single mother	CapableOf	live in suburbs
lonely bride	CapableOf	visit mother
sailor	CapableOf	wind winch
spendthrift	CapableOf	spend money on trifles
butcher	CapableOf	quarter cow
peole	CapableOf	dance
healthy person	CapableOf	fast for several days
drunk person	CapableOf	wear lampshade
director	CapableOf	produce film
masochist	CapableOf	suffer gladly
carpenter	CapableOf	saw lumber
society	CapableOf	create government
soprano	CapableOf	song
camper	CapableOf	go hiking
grocer	CapableOf	market bread
sniper	CapableOf	nail target
science fair judge	CapableOf	present winning ribbon
butcher	CapableOf	bone piece of meat
society	CapableOf	socialising
trail guide	CapableOf	hurry along
skeptic	CapableOf	doubt claim
druggie	CapableOf	trip on acid
silly lady	CapableOf	kiss little doggy
traveler	CapableOf	prepare to take trip
dictator	CapableOf	demand respect
twin	CapableOf	complete sentences
progeny	CapableOf	increase dramatically
fishmonger	CapableOf	bone fish
fisherman	CapableOf	fish for tuna
poet	CapableOf	flower page
writer	CapableOf	word phrase carefully
lumberjack	CapableOf	fall tree
hunter	CapableOf	bag animal
writer	CapableOf	complete novel
insurer	CapableOf	honor contract
passenger	CapableOf	board subway
drummer	CapableOf	follow tume
technician	CapableOf	fix device
famous actor	CapableOf	star in next movie
smart shopper	CapableOf	price different groceries
construction worker	CapableOf	wall room
forger	CapableOf	doctor passport
shepherd	CapableOf	count sheep
woodcutter	CapableOf	saw trees
masochist	CapableOf	subject herself to pain
drug dealer	CapableOf	supply drugs
tourist	CapableOf	visit foreign country
weekend warrior	CapableOf	play paintball
activist	CapableOf	forward cause to politician
store clerk	CapableOf	sell items to customer
baseball player	CapableOf	hit home run
murderer	CapableOf	spend life in prison
host	CapableOf	seat guests at table
dieter	CapableOf	fast for day
gossip	CapableOf	spread rumors
housewife	CapableOf	cook terrific meal
slave	CapableOf	sing of freedom
negotiator	CapableOf	settling dispute
old man	CapableOf	long for youth
cricketer	CapableOf	field ball
psychic	CapableOf	sense future
medic	CapableOf	doctor soldier
